nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-11-30 23:50:00",330,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-11-30 23:50:00",290,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-11-30 23:50:00",960,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-11-30 23:50:00",6220,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-11-30 23:50:00",170,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-11-30 23:50:00",410,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-11-30 23:50:00",2850,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-11-30 23:50:00",1660,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-11-30 23:50:00",1730,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-11-30 23:50:00",-1870,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-11-30 23:50:00",630,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-11-30 23:50:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-11-30 23:50:00",1050,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-11-30 23:50:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-11-30 23:50:00",850,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-11-30 23:50:00",990,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-11-30 23:50:00",1710,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-11-30 23:50:00",1010,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-11-30 23:50:00",1070,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-11-30 23:50:00",1730,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-11-30 23:40:00",1510,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 00:20:00",310,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 00:20:00",290,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 00:20:00",1120,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 00:20:00",6190,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 00:20:00",170,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 00:20:00",440,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 00:10:00",2200,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 00:20:00",1670,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 00:20:00",1710,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 00:20:00",-1880,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 00:20:00",630,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 00:20:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 00:20:00",1050,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 00:20:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 00:20:00",800,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 00:20:00",940,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 00:20:00",1710,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 00:20:00",980,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 00:20:00",1050,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 00:20:00",1720,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 00:20:00",1500,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 01:10:00",290,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 01:10:00",260,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 01:10:00",1220,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2021-12-01 01:10:00",6190,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2021-12-01 01:20:00",160,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2021-12-01 01:20:00",470,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2021-12-01 01:20:00",2800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2021-12-01 01:10:00",1660,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2021-12-01 01:20:00",1700,"Status : Siaga 3"
"Pompa. Pluit","Waduk Pluit",-6.109642,106.796954,"2021-12-01 01:20:00",-1880,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2021-12-01 01:10:00",450,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2021-12-01 01:10:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2021-12-01 01:20:00",1040,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2021-12-01 01:10:00",3300,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2021-12-01 01:10:00",810,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2021-12-01 01:20:00",930,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2021-12-01 01:10:00",1710,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2021-12-01 01:20:00",960,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2021-12-01 01:20:00",1020,"Status : Normal"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2021-12-01 01:10:00",1710,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2021-12-01 01:10:00",1500,"Status : Normal"
"Bendung. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2021-12-01 01:50:00",270,"Status : Normal"
"Bendung. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2021-12-01 01:50:00",250,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2021-12-01 01:50:00",1170,"Status : Normal"
